Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,MALE,FIFTIES,SOME_COLL,IND,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,2,3,Linked Fate Treatment Group,0,2,0,Y,Y,N,Y,Y,N,MID,MID
WHITE,MALE,FORTIES,SOME_COLL,REP,YES,CON,51k - 100k,NO,X,YES,WESTCOAST,SUPPORT,OPPOSE,-2,-1,Retail Control Group,-3,0,-3,X,X,X,X,X,X,LOW,HIGH
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,S_OPPOSE,2,6,Racial Resentment Treatment Group,2,3,3,Y,Y,N,Y,N,N,HIGH,MID
WHITE,MALE,FIFTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,1,4,Linked Fate Treatment Group,0,3,2,Y,Y,N,Y,N,N,MID,MID
WHITE,MALE,TWENTIES,BACH,REP,YES,CON,25k - 50k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,3,-2,Retail Control Group,-3,2,0,X,X,X,X,X,X,LOW,MID
MIXED,FEMALE,FIFTIES,BACH,X,YES,MOD,25k - 50k,NO,X,NO,NORTHEAST,SUPPORT,S_OPPOSE,0,6,Linked Fate Treatment Group,1,4,2,Y,Y,N,N,Y,N,HIGH,MID
HISP_LAT,MALE,THIRTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,S_OPPOSE,5,5,Retail Control Group,2,4,3,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,SEVENTIES,PROF,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,S_SUPPORT,NEITHER,5,6,Retail Control Group,2,4,0,X,X,X,X,X,X,HIGH,MID
MIXED,FEMALE,TWENTIES,HS_GED,DEM,YES,LIB,0 - 24k,NO,X,NO,NORTHEAST,S_SUPPORT,S_SUPPORT,6,7,Race Neutral Control Group,2,4,3,N,N,N,X,X,X,HIGH,LOW
WHITE,FEMALE,SIXTIES,BACH,IND,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,-1,0,Race Neutral Control Group,-3,-4,2,Y,Y,N,X,X,X,MID,HIGH
WHITE,MALE,X,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,1,0,Linked Fate Treatment Group,1,3,0,Y,Y,N,N,N,N,MID,MID
ASIAN,MALE,TWENTIES,ASSOC,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,OPPOSE,0,6,Retail Control Group,2,3,2,X,X,X,X,X,X,HIGH,MID
WHITE,X,THIRTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,2,6,Race Neutral Control Group,1,3,2,N,N,N,X,X,X,HIGH,MID
WHITE,MALE,THIRTIES,SOME_COLL,IND,YES,MOD,0 - 24k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,4,1,Linked Fate Treatment Group,-1,1,0,Y,N,N,Y,N,N,MID,MID
WHITE,FEMALE,FORTIES,BACH,REP,YES,CON,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,-4,1,Racial Resentment Treatment Group,-3,-4,-3,Y,Y,Y,Y,N,Y,MID,HIGH
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,6,7,Racial Resentment Treatment Group,-1,4,3,Y,N,N,N,Y,N,HIGH,LOW
MIXED,FEMALE,TWENTIES,PROF,DEM,YES,LIB,301k - 500k,NO,X,NO,SOUTHWEST,SUPPORT,OPPOSE,2,2,Race Neutral Control Group,0,3,0,Y,N,N,X,X,X,MID,MID
WHITE,MALE,THIRTIES,BACH,IND,YES,MOD,25k - 50k,NO,X,NO,MIDWEST,SUPPORT,OPPOSE,-1,0,Racial Resentment Treatment Group,-1,0,-2,N,N,N,N,Y,N,MID,HIGH
WHITE,FEMALE,FIFTIES,ASSOC,DEM,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,0,2,3,X,N,X,X,N,N,MID,MID
MIXED,FEMALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,4,7,Linked Fate Treatment Group,1,3,3,N,N,N,Y,Y,N,HIGH,MID
WHITE,FEMALE,FORTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,2,4,Racial Resentment Treatment Group,-3,4,1,Y,Y,N,Y,N,N,MID,MID
MIXED,MALE,THIRTIES,ASSOC,IND,YES,MOD,51k - 100k,YES,X,NO,SOUTHEAST,OPPOSE,OPPOSE,3,5,Linked Fate Treatment Group,-3,0,-1,Y,Y,Y,Y,N,N,MID,MID
MIXED,MALE,TEENS,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,NEITHER,0,7,Linked Fate Treatment Group,1,4,0,Y,Y,Y,N,N,N,HIGH,MID
WHITE,MALE,SIXTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,S_OPPOSE,5,1,Retail Control Group,0,3,2,X,X,X,X,X,X,MID,MID
MIXED,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,YES,X,YES,WESTCOAST,S_SUPPORT,OPPOSE,6,7,Retail Control Group,0,4,2,X,X,X,X,X,X,HIGH,LOW
WHITE,MALE,THIRTIES,HS_GED,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,5,5,Linked Fate Treatment Group,2,4,3,Y,Y,Y,Y,N,Y,MID,MID
BLACK,MALE,THIRTIES,MAST,IND,YES,CON,301k - 500k,YES,X,NO,MIDWEST,SUPPORT,SUPPORT,5,-1,Retail Control Group,2,1,2,X,X,X,X,X,X,LOW,MID
MIXED,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,4,Race Neutral Control Group,3,4,3,Y,N,N,X,X,X,MID,MID
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,4,1,Linked Fate Treatment Group,2,4,2,N,N,N,N,Y,N,MID,MID
WHITE,MALE,FIFTIES,BACH,DEM,YES,MOD,25k - 50k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,-1,4,Retail Control Group,1,4,3,X,X,X,X,X,X,MID,HIGH
HISP_LAT,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,-1,3,Racial Resentment Treatment Group,2,4,1,N,N,N,X,Y,N,MID,HIGH
BLACK,MALE,THIRTIES,SOME_COLL,IND,YES,LIB,0 - 24k,NO,X,YES,NORTHWEST,OPPOSE,S_OPPOSE,4,7,Racial Resentment Treatment Group,0,4,3,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,MALE,FIFTIES,BACH,IND,YES,MOD,25k - 50k,NO,X,NO,NORTHWEST,SUPPORT,NEITHER,4,1,Race Neutral Control Group,-1,-1,3,X,X,N,X,X,X,MID,MID
ASIAN,MALE,THIRTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,1,3,Racial Resentment Treatment Group,-3,0,3,Y,Y,Y,Y,N,Y,MID,MID
MIXED,FEMALE,TWENTIES,SOME_COLL,IND,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,0,7,Race Neutral Control Group,3,4,3,X,Y,N,X,X,X,HIGH,MID
